Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % of 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day
06/04/2020,728018,0.13,753900,0.35,19857,0.06,17149,0.06,12000,0.41,650868,0.66
06/03/2020,683037,0.12,641800,0.3,21394,0.06,15649,0.05,11962,0.41,582624,0.59
06/02/2020,695276,0.12,1087500,0.51,22175,0.07,16295,0.06,11206,0.38,579412,0.59
06/01/2020,688520,0.12,1082000,0.5,22626,0.07,16185,0.05,10760,0.37,595060,0.61
05/31/2020,344428,0.14,1102200,1.14,11074,0.11,9390,0.09,4216,0.25,495488,0.58
05/30/2020,426755,0.13,1178500,0.84,13058,0.11,11003,0.07,6143,0.35,537180,0.56
05/29/2020,658353,0.11,968200,0.43,18474,0.06,15698,0.05,10185,0.35,598608,0.62
05/28/2020,659248,0.11,754900,0.33,17489,0.05,14162,0.05,10030,0.34,584629,0.61
05/27/2020,675705,0.12,658700,0.29,18145,0.06,14433,0.05,11088,0.38,601140,0.62
05/26/2020,657939,0.11,1030200,0.45,18256,0.06,14938,0.05,9875,0.34,587270,0.61
05/25/2020,394359,0.16,1118800,1.16,13260,0.14,12983,0.12,5428,0.18,445015,0.52
05/24/2020,320376,0.13,1114900,1.16,9699,0.1,8977,0.09,4117,0.24,461171,0.54
05/23/2020,336250,0.1,1195700,0.86,9219,0.08,7613,0.05,5550,0.32,394091,0.41
05/22/2020,634929,0.11,926800,0.41,16824,0.05,14712,0.05,9782,0.33,626984,0.65
05/21/2020,630367,0.11,852600,0.37,15690,0.05,13295,0.05,9731,0.33,585553,0.61
05/20/2020,624793,0.11,727700,0.32,15227,0.05,12754,0.04,10224,0.35,542409,0.56
05/19/2020,611951,0.11,1144100,0.5,14773,0.05,12778,0.04,9290,0.32,524483,0.54
05/18/2020,596505,0.1,1211300,0.53,15176,0.05,13142,0.05,8969,0.3,505315,0.53
05/17/2020,287755,0.12,1229000,1.28,7184,0.07,6168,0.06,3577,0.21,391606,0.46
05/16/2020,361329,0.11,1211800,0.87,9296,0.08,8100,0.05,5947,0.34,477098,0.5
05/15/2020,588784,0.1,1176200,0.52,14806,0.05,12937,0.05,9473,0.32,562991,0.58
05/14/2020,568315,0.1,913700,0.4,13415,0.04,12132,0.04,8855,0.3,520395,0.54
05/13/2020,566333,0.1,692800,0.3,13262,0.04,11931,0.04,9437,0.32,509243,0.53
05/12/2020,554286,0.1,1130400,0.5,13008,0.04,11489,0.04,8271,0.28,488406,0.51
05/11/2020,521702,0.09,1204300,0.53,12593,0.04,11435,0.04,7636,0.26,458042,0.48
05/10/2020,272353,0.11,1189100,1.23,6528,0.07,5879,0.06,3962,0.23,415868,0.49
05/09/2020,317372,0.1,1180200,0.85,6422,0.05,6018,0.04,5055,0.29,371426,0.39
05/08/2020,526865,0.09,1134300,0.5,11580,0.04,11243,0.04,8656,0.29,483831,0.5
05/07/2020,536003,0.09,967300,0.43,11212,0.04,11248,0.04,8509,0.29,488836,0.51
05/06/2020,509646,0.09,721100,0.32,9927,0.03,10107,0.04,8832,0.3,444179,0.46
05/05/2020,522979,0.09,1185000,0.52,9073,0.03,10604,0.04,8445,0.29,462086,0.48
05/04/2020,512763,0.09,1210600,0.53,7658,0.02,10765,0.04,8287,0.28,447424,0.46
05/03/2020,259199,0.11,1273100,1.32,2708,0.03,4839,0.05,3263,0.19,353314,0.41
05/02/2020,326354,0.1,1224100,0.88,3323,0.03,5908,0.04,5493,0.32,401938,0.42
05/01/2020,495312,0.09,1220700,0.54,4569,0.01,9206,0.03,8332,0.28,445621,0.46
04/30/2020,466633,0.08,969300,0.44,6672,0.02,9971,0.03,7253,0.25,405169,0.43
04/29/2020,478589,0.09,707000,0.32,6414,0.02,10165,0.04,7844,0.27,410502,0.44
04/28/2020,490073,0.09,1268300,0.58,6450,0.02,10531,0.04,7542,0.26,436347,0.46
04/27/2020,463700,0.08,968100,0.44,6233,0.02,10243,0.04,6922,0.24,384124,0.41
04/26/2020,219096,0.09,1305000,1.32,1655,0.02,3496,0.03,2506,0.13,231541,0.27
04/25/2020,295836,0.09,1241800,0.93,2500,0.02,4988,0.03,4719,0.28,350300,0.38
04/24/2020,444644,0.08,1256300,0.57,5929,0.02,9722,0.03,7040,0.24,386935,0.41
04/23/2020,454300,0.08,962000,0.44,6021,0.02,9527,0.03,6969,0.24,386938,0.41
04/22/2020,459574,0.08,766700,0.35,6114,0.02,9694,0.03,7496,0.26,398703,0.42
04/21/2020,422860,0.08,1243700,0.57,5815,0.02,9374,0.03,6613,0.23,356099,0.38
04/20/2020,438622,0.08,1256400,0.57,6292,0.02,10063,0.04,7050,0.24,371776,0.4
04/19/2020,224751,0.09,1227500,1.24,1878,0.02,3885,0.04,2742,0.15,276406,0.32
04/18/2020,254792,0.08,1198800,0.9,2134,0.02,3966,0.03,4202,0.25,254735,0.28
04/17/2020,433106,0.08,1321800,0.6,6270,0.02,9989,0.03,7048,0.24,378350,0.4
04/16/2020,421013,0.08,1001000,0.46,6048,0.02,9528,0.03,6563,0.23,346342,0.37
04/15/2020,419851,0.08,622000,0.28,6059,0.02,9492,0.03,6928,0.24,340213,0.36
04/14/2020,430946,0.08,1275000,0.58,6203,0.02,9592,0.03,6585,0.23,356104,0.38
04/13/2020,363961,0.07,1307400,0.6,5784,0.02,8825,0.03,6205,0.21,284609,0.3
04/12/2020,198693,0.08,1212800,1.22,1953,0.02,3281,0.03,2525,0.14,217871,0.25
04/11/2020,257467,0.08,1352700,1.01,2395,0.02,4179,0.03,4235,0.25,254755,0.28
04/10/2020,400947,0.07,1335800,0.61,6252,0.02,9574,0.03,5378,0.19,314100,0.33
04/09/2020,405325,0.07,998700,0.46,6013,0.02,8931,0.03,6243,0.22,303481,0.32
04/08/2020,428206,0.08,783200,0.36,6371,0.02,9293,0.03,6950,0.24,324882,0.35
04/07/2020,435718,0.08,1270700,0.58,6552,0.02,9589,0.03,7041,0.24,335470,0.36
04/06/2020,446273,0.08,1273400,0.58,7150,0.02,9832,0.03,7093,0.25,335769,0.36
04/05/2020,227603,0.09,1361400,1.37,2583,0.03,3602,0.03,2763,0.15,209152,0.24
04/04/2020,282703,0.09,1274100,0.95,3247,0.03,4452,0.03,4375,0.26,243323,0.27
04/03/2020,484200,0.09,1333400,0.61,7321,0.02,9770,0.03,7794,0.27,340272,0.36
04/02/2020,486468,0.09,892800,0.41,7188,0.02,9493,0.03,7077,0.24,339734,0.36
04/01/2020,514201,0.09,822300,0.38,7435,0.02,9301,0.03,8151,0.28,342222,0.36
03/31/2020,509149,0.09,987400,0.44,3871,0.01,137464,0.5,7672,0.26,337626,0.37
03/30/2020,546355,0.1,996600,0.44,4766,0.02,137762,0.5,8084,0.27,344690,0.37
03/29/2020,264119,0.12,994000,1,3199,0.04,18152,0.19,3374,0.19,197154,0.24
03/28/2020,332993,0.11,1030700,0.78,4085,0.04,19088,0.14,4491,0.27,240702,0.28
03/27/2020,658312,0.12,1034500,0.46,5964,0.02,138903,0.5,8409,0.28,396778,0.43
03/26/2020,681923,0.12,740100,0.33,5952,0.02,138668,0.5,8795,0.3,390117,0.42
03/25/2020,691604,0.12,580400,0.26,6281,0.02,138239,0.5,9512,0.32,375767,0.41
03/24/2020,743314,0.13,650300,0.29,7120,0.02,139194,0.5,9133,0.31,395493,0.43
03/23/2020,711138,0.13,1032900,0.46,7379,0.02,139285,0.51,9902,0.33,361514,0.39
03/22/2020,409364,0.18,1081700,1.09,6527,0.08,20830,0.22,4824,0.27,277051,0.34
03/21/2020,620662,0.2,989000,0.74,9624,0.09,23700,0.17,6467,0.38,382993,0.44
03/20/2020,1312249,0.24,1072600,0.48,14656,0.05,145160,0.53,12744,0.43,563262,0.61
03/19/2020,1425564,0.26,759700,0.34,14884,0.05,144466,0.52,14116,0.47,569696,0.62
03/18/2020,1629413,0.29,577400,0.26,17991,0.06,146118,0.53,15942,0.54,634853,0.69
03/17/2020,1793359,0.32,1044500,0.47,19979,0.06,147391,0.53,18173,0.61,650445,0.71
03/16/2020,2184296,0.39,1087600,0.49,28810,0.09,153262,0.56,21145,0.71,708870,0.77
03/15/2020,1159079,0.51,1075300,1.08,24525,0.28,32641,0.35,12480,0.71,535988,0.66
03/14/2020,1672800,0.54,1060400,0.8,34730,0.32,39701,0.29,13394,0.79,631101,0.72
03/13/2020,3496765,0.63,1074200,0.48,46464,0.15,167176,0.61,26640,0.9,860419,0.93
03/12/2020,4163674,0.75,761600,0.34,49293,0.16,169548,0.61,30814,1.04,881188,0.96
03/11/2020,4712462,0.84,585500,0.26,59054,0.19,175074,0.63,32198,1.08,866706,0.94
03/10/2020,4883623,0.87,1021200,0.46,61990,0.2,179050,0.65,31315,1.05,855585,0.93
03/09/2020,4989635,0.89,1061900,0.47,66875,0.21,183953,0.67,29609,1,860073,0.93
03/08/2020,2122328,0.92,1093600,1.1,59879,0.69,60800,0.64,19477,1.11,765084,0.95
03/07/2020,2817082,0.92,1070500,0.81,82062,0.76,75839,0.56,18117,1.07,827908,0.95
03/06/2020,5204732,0.93,1077600,0.48,84726,0.27,205056,0.74,30970,1.04,945408,1.03
03/05/2020,5513656,0.99,756300,0.34,76897,0.25,194387,0.7,33209,1.12,929298,1.01
03/04/2020,5515945,0.99,586900,0.26,74878,0.24,192689,0.7,34297,1.15,905558,0.98
03/03/2020,5498556,0.98,955300,0.43,76429,0.24,190648,0.69,32767,1.1,882175,0.96
03/02/2020,5347055,0.96,1023100,0.46,77635,0.25,180702,0.66,30338,1.02,874620,0.95
03/01/2020,2214601,0.96,1077000,1.08,,0,55826,0.59,19922,1.13,786961,0.98
